Profile Summary
Generated on: 2022-01-27 11:52:03
Msec since Epoch: 1643284323046
Profiled application: thresh_erode
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.0
Build version branch: heads/202110.2.11.634
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0
Flow mode: Hardware Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,3,7.65494,0.328452,2.55165,6.89836,
clCreateCommandQueue,1,0.012265,0.012265,0.012265,0.012265,
clCreateContext,1,0.079192,0.079192,0.079192,0.079192,
clCreateKernel,1,4.51026,4.51026,4.51026,4.51026,
clCreateProgramWithBinary,1,26609.4,26609.4,26609.4,26609.4,
clEnqueueReadBuffer,1,20004.6,20004.6,20004.6,20004.6,
clEnqueueTask,1,0.111106,0.111106,0.111106,0.111106,
clEnqueueWriteBuffer,2,0.571375,0.080725,0.285687,0.49065,
clFinish,1,0.004561,0.004561,0.004561,0.004561,
clGetDeviceIDs,2,0.008245,0.002251,0.0041225,0.005994,
clGetDeviceInfo,2,0.015739,0.002954,0.0078695,0.012785,
clGetPlatformIDs,2,0.022702,0.002395,0.011351,0.020307,
clGetPlatformInfo,2,0.006856,0.002278,0.003428,0.004578,
clReleaseCommandQueue,1,0.009398,0.009398,0.009398,0.009398,
clReleaseContext,1,11014.9,11014.9,11014.9,11014.9,
clReleaseDevice,2,0.011162,0.002645,0.005581,0.008517,
clReleaseEvent,3,0.024241,0.006692,0.00808033,0.009585,
clReleaseKernel,1,1.04622,1.04622,1.04622,1.04622,
clReleaseMemObject,3,0.008817,0.00218,0.002939,0.003922,
clReleaseProgram,1,23811.9,23811.9,23811.9,23811.9,
clRetainDevice,2,0.004331,0.002002,0.0021655,0.002329,
clSetKernelArg,7,0.033835,0.001959,0.00483357,0.012248,

Kernel Execution (includes estimated device time)
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
erosion,1,0.062926,0.062926,0.062926,0.062926,

Compute Unit Utilization (includes estimated device times)
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,erosion_1,erosion,1:1:1,1:1:1,1,Yes,1,1.000000x,0.0602933,0.0602933,0.0602933,0.0602933,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,N/A,N/A,16.384,N/A,N/A,
context0:1,WRITE,3,N/A,N/A,10.9287,N/A,N/A,

Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,erosion_1/m_axi_gmem0,img_in,DDR[1],READ,256,1103.3,11.4927,0.064,25,
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,erosion_1/m_axi_gmem1,process_shape,DDR[1],READ,1,900,9.375,0.012,4,
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,erosion_1/m_axi_gmem2,img_out,DDR[1],WRITE,256,1036.96,10.8017,0.064,18,

Data Transfer: Streams
Device,Master Port,Master Kernel Arguments,Slave Port,Slave Kernel Arguments,Number Of Transfers,Transfer Rate (MB/s),Average Size (KB),Link Utilization (%),Link Starve (%),Link Stall (%),




Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,erosion_1,256,64,1.5625,0.016384,0,0.016384,1103.3,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
38336816,erosion,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,0.046417,0.062926,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
17179885568,0,0,26657.3,N/A,16.393,N/A,
17179869184,0,0,26657.1,N/A,16.384,N/A,
17179885568,0,0,26657.2,N/A,0.009,N/A,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
17179889664,0,0,46661.3,N/A,16.384,N/A,



Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,0.062926,
CU_CALLS,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|erosion_1,1,
NUM_MONITORS,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|XCL_PERF_MON_MEMORY|3,3,
NUM_MONITORS,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[0],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[2],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[3],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,erosion_1/m_axi_gmem0,8,
PORT_BIT_WIDTH,erosion_1/m_axi_gmem1,8,
PORT_BIT_WIDTH,erosion_1/m_axi_gmem2,8,
KERNEL_COUNT,erosion,1,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,NA,
MAX_PARALLEL_KERNEL_ENQUEUES,erosion,1,
COMMAND_QUEUE_OOO,37827376,0,
PLRAM_SIZE_BYTES,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,131072,
KERNEL_BUFFER_INFO,erosion|img_in|DDR[1]|1,16384,
KERNEL_BUFFER_INFO,erosion|process_shape|DDR[1]|1,9,
KERNEL_BUFFER_INFO,erosion|img_out|DDR[1]|1,16384,
TRACE_BUFFER_FULL,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,false
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM,512,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,fine,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,0.657769,
BUFFER_WR_ACTIVE_TIME_MS,all,1.22825,
BUFFER_TX_ACTIVE_TIME_MS,all,20004.9,
APPLICATION_RUN_TIME_MS,all,81475.1,
TOTAL_KERNEL_RUN_TIME_MS,all,19225.4,
