Profile Summary
Generated on: 2022-01-27 15:31:47
Msec since Epoch: 1643297507586
Profiled application: thresh_erode_2kernel
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.0
Build version branch: heads/202110.2.11.634
Build version hash: 5ad5998d67080f00bca5bf15b3838cf35e0a7b26
Build version date: N/A
Target devices: xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0
Flow mode: Hardware Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,4,9.27509,0.326582,2.31877,7.6501,
clCreateCommandQueue,1,0.014077,0.014077,0.014077,0.014077,
clCreateContext,1,0.111976,0.111976,0.111976,0.111976,
clCreateKernel,2,6.29862,3.01864,3.14931,3.27998,
clCreateProgramWithBinary,1,30748.5,30748.5,30748.5,30748.5,
clEnqueueReadBuffer,1,24007,24007,24007,24007,
clEnqueueTask,2,1.61324,0.037393,0.806622,1.57585,
clEnqueueWriteBuffer,2,1.1914,0.104883,0.5957,1.08652,
clFinish,1,0.003668,0.003668,0.003668,0.003668,
clGetDeviceIDs,2,0.011427,0.003256,0.0057135,0.008171,
clGetDeviceInfo,2,0.022036,0.004043,0.011018,0.017993,
clGetEventProfilingInfo,2,0.009194,0.002763,0.004597,0.006431,
clGetPlatformIDs,2,0.030328,0.003372,0.015164,0.026956,
clGetPlatformInfo,2,0.0092,0.003241,0.0046,0.005959,
clReleaseCommandQueue,1,0.010947,0.010947,0.010947,0.010947,
clReleaseContext,1,7766.03,7766.03,7766.03,7766.03,
clReleaseDevice,2,0.015141,0.003554,0.0075705,0.011587,
clReleaseEvent,3,0.026854,0.007004,0.00895133,0.011067,
clReleaseKernel,2,1.28243,0.486928,0.641216,0.795505,
clReleaseMemObject,4,0.015547,0.002748,0.00388675,0.005572,
clReleaseProgram,1,47185.1,47185.1,47185.1,47185.1,
clRetainDevice,2,0.006455,0.002973,0.0032275,0.003482,
clSetKernelArg,11,0.054407,0.002025,0.00494609,0.015553,
clWaitForEvents,2,22003.2,0.00287,11001.6,22003.2,

Kernel Execution (includes estimated device time)
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
erosion,1,0.063561,0.063561,0.063561,0.063561,
threshold_accel,1,0.058627,0.058627,0.058627,0.058627,

Compute Unit Utilization (includes estimated device times)
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,erosion_1,erosion,1:1:1,1:1:1,1,Yes,1,1.000000x,0.0602933,0.0602933,0.0602933,0.0602933,300,
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,threshold_accel_1,threshold_accel,1:1:1,1:1:1,1,Yes,1,1.000000x,0.0569433,0.0569433,0.0569433,0.0569433,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,N/A,N/A,16.384,N/A,N/A,
context0:1,WRITE,4,N/A,N/A,12.2925,N/A,N/A,

Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,erosion_1/m_axi_gmem0,img_in,DDR[1],READ,256,1103.55,11.4953,0.064,25,
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,erosion_1/m_axi_gmem1,process_shape,DDR[1],READ,1,900,9.375,0.012,4,
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,erosion_1/m_axi_gmem2,img_out,DDR[1],WRITE,256,1036.52,10.7971,0.064,18,
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,threshold_accel_1/m_axi_gmem1,img_inp,DDR[1],READ,256,1104.29,11.503,0.064,25,
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,threshold_accel_1/m_axi_gmem2,img_out,DDR[1],WRITE,256,1037.18,10.804,0.064,18,

Data Transfer: Streams
Device,Master Port,Master Kernel Arguments,Slave Port,Slave Kernel Arguments,Number Of Transfers,Transfer Rate (MB/s),Average Size (KB),Link Utilization (%),Link Starve (%),Link Stall (%),




Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,erosion_1,256,64,1.5625,0.016384,0,0.016384,1103.55,
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,threshold_accel_1,256,64,1.5625,0.016384,0,0.016384,1104.29,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
29229488,erosion,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,0.108636,0.063561,1:1:1,1:1:1,
29390320,threshold_accel,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,0.049998,0.058627,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
17179885568,0,0,30803.7,N/A,32.768,N/A,
17179901952,0,0,52811,N/A,0.009,N/A,
17179869184,0,0,30802,N/A,16.384,N/A,
17179901952,0,0,52810.9,N/A,0.009,N/A,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
17179906048,0,0,76817,N/A,16.384,N/A,



Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,0.122199,
CU_CALLS,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|erosion_1,1,
CU_CALLS,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|threshold_accel_1,1,
NUM_MONITORS,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|XCL_PERF_MON_MEMORY|5,5,
NUM_MONITORS,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|XCL_PERF_MON_ACCEL|2,2,
NUM_MONITORS,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[0],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[2],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[3],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,erosion_1/m_axi_gmem0,8,
PORT_BIT_WIDTH,erosion_1/m_axi_gmem1,8,
PORT_BIT_WIDTH,erosion_1/m_axi_gmem2,8,
PORT_BIT_WIDTH,threshold_accel_1/m_axi_gmem1,8,
PORT_BIT_WIDTH,threshold_accel_1/m_axi_gmem2,8,
KERNEL_COUNT,erosion,1,
KERNEL_COUNT,threshold_accel,1,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,NA,
MAX_PARALLEL_KERNEL_ENQUEUES,erosion,1,
MAX_PARALLEL_KERNEL_ENQUEUES,threshold_accel,1,
COMMAND_QUEUE_OOO,29056304,0,
PLRAM_SIZE_BYTES,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,131072,
KERNEL_BUFFER_INFO,erosion|img_in|DDR[1]|1,16384,
KERNEL_BUFFER_INFO,erosion|process_shape|DDR[1]|1,9,
KERNEL_BUFFER_INFO,erosion|img_out|DDR[1]|1,16384,
KERNEL_BUFFER_INFO,threshold_accel|img_inp|DDR[1]|1,16384,
KERNEL_BUFFER_INFO,threshold_accel|img_out|DDR[1]|1,16384,
TRACE_BUFFER_FULL,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,false
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM,512,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,0,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,0,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,fine,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,1.00358,
BUFFER_WR_ACTIVE_TIME_MS,all,0.783917,
BUFFER_TX_ACTIVE_TIME_MS,all,46016,
APPLICATION_RUN_TIME_MS,all,131755,
TOTAL_KERNEL_RUN_TIME_MS,all,44811.6,
